EmployeeID,StartTime,EndTime
0001,2026-04-18 14:52:00,2026-04-18 23:28:00
0001,2026-04-19 14:45:00,2026-04-19 23:34:00
0001,2026-04-20 14:22:00,2026-04-20 23:27:00
0001,2026-04-21 14:52:00,2026-04-21 21:17:00
0001,2026-04-22 06:46:00,2026-04-22 16:54:00
0002,2026-04-23 15:11:00,2026-04-24 01:32:00
0002,2026-04-26 14:39:00,2026-04-26 23:34:00
0003,2026-04-24 06:27:00,2026-04-24 15:57:00
0003,2026-04-25 17:27:00,2026-04-26 02:31:00
0003,2026-04-19 17:28:00,2026-04-20 02:30:00
0003,2026-04-20 14:27:00,2026-04-23 23:30:00
0003,2026-04-21 17:30:00,2026-04-26 02:31:00
0003,2026-04-22 06:37:00,2026-04-24 15:45:00
0004,2026-04-23 14:38:00,2026-04-25 23:35:00
